geoid,name,state,source_id,median_permitting_timeline,pctile_1,pctile_10,pctile_25,pctile_50,pctile_75,pctile_90,pctile_95,data_source,num_records,population,year
1300436,Adairsville city,Georgia,,,,,,,,,,,,4911,
2100298,Adairville city,Kentucky,,,,,,,,,,,,747,
200065,Adak city,Alaska,,,,,,,,,,,,248,
3800340,Adams city,North Dakota,,,,,,,,,,,,112,
4100350,Adams city,Oregon,,,,,,,,,,,,490,
4700200,Adams city,Tennessee,,,,,,,,,,,,674,
5500275,Adams city,Wisconsin,,,,,,,,,,,,2204,
16003,Adams County,Idaho,,,,,,,,,,,,2996,
18001,Adams County,Indiana,,,,,,,,,,,,19579,
19003,Adams County,Iowa,,,,,,,,,,,,1841,
28001,Adams County,Mississippi,,,,,,,,,,,,15034,
31001,Adams County,Nebraska,,,,,,,,,,,,3784,
38001,Adams County,North Dakota,,,,,,,,,,,,982,
39001,Adams County,Ohio,,,,,,,,,,,,18807,
42001,Adams County,Pennsylvania,,,,,,,,,,,,74679,
53001,Adams County,Washington,,,,,,,,,,,,9488,
55001,Adams County,Wisconsin,,,,,,,,,,,,18127,
2500300555,Adams town,Massachusetts,,,,,,,,,,,,8149,
3604500210,Adams town,New York,,,,,,,,,,,,5004,
4201900300,Adams township,Pennsylvania,,,,,,,,,,,,14767,
3100240,Adams village,Nebraska,,,,,,,,,,,,568,
3600199,Adams village,New York,,,,,,,,,,,,1923,
4200332,Adamsburg borough,Pennsylvania,,,,,,,,,,,,97,
4200364,Adamstown borough,Pennsylvania,,,,,,,,,,,,2460,
100460,Adamsville city,Alabama,,,,,,,,,,,,4325,
4700240,Adamsville town,Tennessee,,,,,,,,,,,,2334,
3900380,Adamsville village,Ohio,,,,,,,,,,,,354,
1700230,Addieville village,Illinois,,,,,,,,,,,,286,
4000450,Addington town,Oklahoma,,,,,,,,,,,,95,
2200415,Addis town,Louisiana,,,,,,,,,,,,6779,
5400364,Addison (Webster Springs) town,West Virginia,,,,,,,,,,,,917,
4200396,Addison borough,Pennsylvania,,,,,,,,,,,,272,
100484,Addison town,Alabama,,,,,,,,,,,,665,
2302900380,Addison town,Maine,,,,,,,,,,,,1192,
3610100287,Addison town,New York,,,,,,,,,,,,2599,
4801240,Addison town,Texas,,,,,,,,,,,,17026,
5000100325,Addison town,Vermont,,,,,,,,,,,,1152,
1704300250,Addison township,Illinois,,,,,,,,,,,,88045,
4211100404,Addison township,Pennsylvania,,,,,,,,,,,,945,
2600380,Addison village,Michigan,,,,,,,,,,,,632,
3600276,Addison village,New York,,,,,,,,,,,,1841,
3900436,Addyston village,Ohio,,,,,,,,,,,,896,
1300576,Adel city,Georgia,,,,,,,,,,,,5571,
1700295,Adeline village,Illinois,,,,,,,,,,,,83,
5500450,Adell village,Wisconsin,,,,,,,,,,,,462,
3900450,Adelphi village,Ohio,,,,,,,,,,,,365,
3900464,Adena village,Ohio,,,,,,,,,,,,659,
72001,Adjuntas Municipio,Puerto Rico,,,,,,,,,,,,17972,
7200358,Adjuntas zona urbana,Puerto Rico,,,,,,,,,,,,4765,
2000325,Admire city,Kansas,,,,,,,,,,,,215,
500250,Adona city,Arkansas,,,,,,,,,,,,94,
1300660,Adrian city,Georgia,,,,,,,,,,,,614,
2600440,Adrian city,Michigan,,,,,,,,,,,,20607,
2700262,Adrian city,Minnesota,,,,,,,,,,,,1209,
2900244,Adrian city,Missouri,,,,,,,,,,,,2021,
4100500,Adrian city,Oregon,,,,,,,,,,,,198,
4801324,Adrian city,Texas,,,,,,,,,,,,171,
2900262,Advance city,Missouri,,,,,,,,,,,,1451,
1800640,Advance town,Indiana,,,,,,,,,,,,412,
1900595,Afton city,Iowa,,,,,,,,,,,,1105,
2700316,Afton city,Minnesota,,,,,,,,,,,,2951,
3601700353,Afton town,New York,,,,,,,,,,,,2760,
4000600,Afton town,Oklahoma,,,,,,,,,,,,779,
5600245,Afton town,Wyoming,,,,,,,,,,,,2303,
3600342,Afton village,New York,,,,,,,,,,,,1159,
4600460,Agar town,South Dakota,,,,,,,,,,,,97,
1900640,Agency city,Iowa,,,,,,,,,,,,463,
2900298,Agency village,Missouri,,,,,,,,,,,,757,
2000475,Agenda city,Kansas,,,,,,,,,,,,59,
2000550,Agra city,Kansas,,,,,,,,,,,,193,
4000700,Agra town,Oklahoma,,,,,,,,,,,,594,
4801396,Agua Dulce city,Texas,,,,,,,,,,,,436,
72003,Aguada Municipio,Puerto Rico,,,,,,,,,,,,37998,
7200616,Aguada zona urbana,Puerto Rico,,,,,,,,,,,,3233,
72005,Aguadilla Municipio,Puerto Rico,,,,,,,,,,,,54752,
7200745,Aguadilla zona urbana,Puerto Rico,,,,,,,,,,,,11383,
72007,Aguas Buenas Municipio,Puerto Rico,,,,,,,,,,,,24136,
7200874,Aguas Buenas zona urbana,Puerto Rico,,,,,,,,,,,,3242,
7201003,Aguas Claras comunidad,Puerto Rico,,,,,,,,,,,,2327,
800760,Aguilar town,Colorado,,,,,,,,,,,,456,
7201089,Aguilita comunidad,Puerto Rico,,,,,,,,,,,,4197,
2600620,Ahmeek village,Michigan,,,,,,,,,,,,87,
3700500,Ahoskie town,North Carolina,,,,,,,,,,,,4841,
72009,Aibonito Municipio,Puerto Rico,,,,,,,,,,,,24555,
7201218,Aibonito zona urbana,Puerto Rico,,,,,,,,,,,,8596,
1300828,Ailey city,Georgia,,,,,,,,,,,,583,
3100415,Ainsworth city,Nebraska,,,,,,,,,,,,1563,
3600408,Airmont village,New York,,,,,,,,,,,,10020,
2900424,Airport Drive village,Missouri,,,,,,,,,,,,675,
5300905,Airway Heights city,Washington,,,,,,,,,,,,10570,
2700460,Aitkin city,Minnesota,,,,,,,,,,,,2153,
27001,Aitkin County,Minnesota,,,,,,,,,,,,12287,
4600540,Akaska town,South Dakota,,,,,,,,,,,,68,
2700496,Akeley city,Minnesota,,,,,,,,,,,,363,
200650,Akhiok city,Alaska,,,,,,,,,,,,98,
200870,Akiak city,Alaska,,,,,,,,,,,,298,
4200540,Akron borough,Pennsylvania,,,,,,,,,,,,4135,
1900775,Akron city,Iowa,,,,,,,,,,,,1580,
100676,Akron town,Alabama,,,,,,,,,,,,310,
800925,Akron town,Colorado,,,,,,,,,,,,1675,
1800748,Akron town,Indiana,,,,,,,,,,,,1062,
2600700,Akron village,Michigan,,,,,,,,,,,,330,
3600441,Akron village,New York,,,,,,,,,,,,2911,
201090,Akutan city,Alaska,,,,,,,,,,,,911,
3603700474,Alabama town,New York,,,,,,,,,,,,2038,
201200,Alakanuk city,Alaska,,,,,,,,,,,,1138,
3700640,Alamance village,North Carolina,,,,,,,,,,,,1287,
3800940,Alamo city,North Dakota,,,,,,,,,,,,70,
1300996,Alamo town,Georgia,,,,,,,,,,,,3180,
1800784,Alamo town,Indiana,,,,,,,,,,,,56,
4700440,Alamo town,Tennessee,,,,,,,,,,,,2405,
8003,Alamosa County,Colorado,,,,,,,,,,,,6481,
2600860,Alanson village,Michigan,,,,,,,,,,,,862,
1301024,Alapaha town,Georgia,,,,,,,,,,,,592,
4200572,Alba borough,Pennsylvania,,,,,,,,,,,,148,
2900496,Alba city,Missouri,,,,,,,,,,,,721,
4801636,Alba town,Texas,,,,,,,,,,,,538,
1301052,Albany city,Georgia,1439,,,,,,,,,,,68926,
2100694,Albany city,Kentucky,,,,,,,,,,,,2264,
2700622,Albany city,Minnesota,,,,,,,,,,,,2795,
2900514,Albany city,Missouri,,,,,,,,,,,,1859,
4801648,Albany city,Texas,,,,,,,,,,,,1644,
36001,Albany County,New York,,,,,,,,,,,,164048,
56001,Albany County,Wyoming,,,,,,,,,,,,5451,
1800802,Albany town,Indiana,,,,,,,,,,,,2854,
2200835,Albany town,Louisiana,,,,,,,,,,,,1140,
3300300420,Albany town,New Hampshire,,,,,,,,,,,,708,
5001900475,Albany town,Vermont,,,,,,,,,,,,1035,
1700516,Albany village,Illinois,,,,,,,,,,,,691,
3901042,Albany village,Ohio,,,,,,,,,,,,844,
5000400,Albany village,Vermont,,,,,,,,,,,,201,
5500750,Albany village,Wisconsin,,,,,,,,,,,,1101,
4600620,Albee town,South Dakota,,,,,,,,,,,,4,
3700680,Albemarle city,North Carolina,,,,,,,,,,,,16444,
51003,Albemarle County,Virginia,,,,,,,,,,,,111909,
1700555,Albers village,Illinois,,,,,,,,,,,,1448,
2000825,Albert city,Kansas,,,,,,,,,,,,111,
1900865,Albert City city,Iowa,,,,,,,,,,,,666,
2700694,Albert Lea city,Minnesota,,,,,,,,,,,,18434,
2700676,Alberta city,Minnesota,,,,,,,,,,,,101,
5100724,Alberta town,Virginia,,,,,,,,,,,,297,
3000700,Alberton town,Montana,,,,,,,,,,,,533,
100988,Albertville city,Alabama,,,,,,,,,,,,22433,
2700730,Albertville city,Minnesota,,,,,,,,,,,,7883,
1900910,Albia city,Iowa,,,,,,,,,,,,3705,
5600825,Albin town,Wyoming,,,,,,,,,,,,185,
4200628,Albion borough,Pennsylvania,,,,,,,,,,,,1320,
1601000,Albion city,Idaho,,,,,,,,,,,,375,
1700568,Albion city,Illinois,,,,,,,,,,,,2136,
1900955,Albion city,Iowa,,,,,,,,,,,,593,
2600980,Albion city,Michigan,,,,,,,,,,,,7732,
3100555,Albion city,Nebraska,,,,,,,,,,,,1641,
1800820,Albion town,Indiana,,,,,,,,,,,,2835,
2301100590,Albion town,Maine,,,,,,,,,,,,2311,
3607301044,Albion town,New York,,,,,,,,,,,,7206,
4001050,Albion town,Oklahoma,,,,,,,,,,,,66,
5301010,Albion town,Washington,,,,,,,,,,,,509,
5502500875,Albion town ,Wisconsin,,,,,,,,,,,,2089,
3601033,Albion village,New York,,,,,,,,,,,,5428,
5400748,Albright town,West Virginia,,,,,,,,,,,,333,
5001300860,Alburgh town,Vermont,,,,,,,,,,,,1857,
5000850,Alburgh village,Vermont,,,,,,,,,,,,443,
1901000,Alburnett city,Iowa,,,,,,,,,,,,828,
4200660,Alburtis borough,Pennsylvania,,,,,,,,,,,,2569,
4600700,Alcester city,South Dakota,,,,,,,,,,,,973,
4700540,Alcoa city,Tennessee,,,,,,,,,,,,11095,
26001,Alcona County,Michigan,,,,,,,,,,,,9443,
28003,Alcorn County,Mississippi,,,,,,,,,,,,17234,
3100625,Alda village,Nebraska,,,,,,,,,,,,563,
4200676,Aldan borough,Pennsylvania,,,,,,,,,,,,4226,
1901045,Alden city,Iowa,,,,,,,,,,,,830,
2000950,Alden city,Kansas,,,,,,,,,,,,127,
2700838,Alden city,Minnesota,,,,,,,,,,,,633,
3602901099,Alden town,New York,,,,,,,,,,,,9801,
3601088,Alden village,New York,,,,,,,,,,,,2606,
4001150,Alderson town,Oklahoma,,,,,,,,,,,,196,
5400772,Alderson town,West Virginia,,,,,,,,,,,,969,
1301248,Aldora town,Georgia,,,,,,,,,,,,,
2700892,Aldrich city,Minnesota,,,,,,,,,,,,38,
2900568,Aldrich village,Missouri,,,,,,,,,,,,60,
1700646,Aledo city,Illinois,,,,,,,,,,,,3808,
201420,Aleknagik city,Alaska,,,,,,,,,,,,121,
2013,Aleutians East Borough,Alaska,,,,,,,,,,,,3407,
2016,Aleutians West Census Area,Alaska,,,,,,,,,,,,5219,
4001250,Alex town,Oklahoma,,,,,,,,,,,,633,
1901090,Alexander city,Iowa,,,,,,,,,,,,180,
2001050,Alexander city,Kansas,,,,,,,,,,,,42,
3801180,Alexander city,North Dakota,,,,,,,,,,,,213,
101132,Alexander City city,Alabama,,,,,,,,,,,,14788,
17003,Alexander County,Illinois,,,,,,,,,,,,2322,
37003,Alexander County,North Carolina,,,,,,,,,,,,34127,
2302900660,Alexander town,Maine,,,,,,,,,,,,501,
3603701165,Alexander town,New York,,,,,,,,,,,,2664,
3601154,Alexander village,New York,,,,,,,,,,,,507,
3601187,Alexandria Bay village,New York,,,,,,,,,,,,1131,
4200756,Alexandria borough,Pennsylvania,,,,,,,,,,,,369,
1800910,Alexandria city,Indiana,,,,,,,,,,,,5144,
2100802,Alexandria city,Kentucky,,,,,,,,,,,,10322,
2700928,Alexandria city,Minnesota,,,,,,,,,,,,14400,
2900604,Alexandria city,Missouri,,,,,,,,,,,,48,
4600820,Alexandria city,South Dakota,,,,,,,,,,,,839,
3300900580,Alexandria town,New Hampshire,,,,,,,,,,,,1911,
3604501176,Alexandria town,New York,,,,,,,,,,,,3769,
4700620,Alexandria town,Tennessee,,,,,,,,,,,,1160,
3401900550,Alexandria township,New Jersey,,,,,,,,,,,,4827,
3100730,Alexandria village,Nebraska,,,,,,,,,,,,100,
3901154,Alexandria village,Ohio,,,,,,,,,,,,507,
1700672,Alexis village,Illinois,,,,,,,,,,,,715,
40003,Alfalfa County,Oklahoma,,,,,,,,,,,,1518,
1200625,Alford town,Florida,,,,,,,,,,,,432,
2500300975,Alford town,Massachusetts,,,,,,,,,,,,450,
1800964,Alfordsville town,Indiana,,,,,,,,,,,,39,
2303100730,Alfred town,Maine,,,,,,,,,,,,3078,
3600301209,Alfred town,New York,,,,,,,,,,,,5986,
3601198,Alfred village,New York,,,,,,,,,,,,4577,
26003,Alger County,Michigan,,,,,,,,,,,,6648,
3901210,Alger village,Ohio,,,,,,,,,,,,784,
5501000,Algoma city,Wisconsin,,,,,,,,,,,,3227,
2800820,Algoma town,Mississippi,,,,,,,,,,,,834,
2608101160,Algoma township,Michigan,,,,,,,,,,,,12050,
1901135,Algona city,Iowa,,,,,,,,,,,,5443,
5301290,Algona city,Washington,,,,,,,,,,,,3264,
2601180,Algonac city,Michigan,,,,,,,,,,,,4167,
1711100698,Algonquin township,Illinois,,,,,,,,,,,,87879,
4700640,Algood city,Tennessee,,,,,,,,,,,,3944,
1700737,Alhambra village,Illinois,,,,,,,,,,,,622,
7201863,Alianza comunidad,Puerto Rico,,,,,,,,,,,,2010,
3801420,Alice city,North Dakota,,,,,,,,,,,,44,
101228,Aliceville city,Alabama,,,,,,,,,,,,2325,
500700,Alicia town,Arkansas,,,,,,,,,,,,122,
4001350,Aline town,Oklahoma,,,,,,,,,,,,203,
2300300800,Allagash town,Maine,,,,,,,,,,,,215,
201860,Allakaket city,Alaska,,,,,,,,,,,,220,
19005,Allamakee County,Iowa,,,,,,,,,,,,6242,
3404100670,Allamuchy township,New Jersey,,,,,,,,,,,,5319,
4700660,Allardt city,Tennessee,,,,,,,,,,,,1191,
2601260,Allegan city,Michigan,,,,,,,,,,,,5180,
26005,Allegan County,Michigan,,,,,,,,,,,,90193,
2600501280,Allegan township,Michigan,,,,,,,,,,,,4713,
24001,Allegany County,Maryland,1476,,,,,,,,,,,38150,
36003,Allegany County,New York,,,,,,,,,,,,31442,
3600901297,Allegany town,New York,,,,,,,,,,,,7506,
3601286,Allegany village,New York,,,,,,,,,,,,1867,
37005,Alleghany County,North Carolina,,,,,,,,,,,,9052,
51005,Alleghany County,Virginia,,,,,,,,,,,,11341,
42003,Allegheny County,Pennsylvania,,,,,,,,,,,,483440,
4212900892,Allegheny township,Pennsylvania,,,,,,,,,,,,8274,
1901180,Alleman city,Iowa,,,,,,,,,,,,379,
2001275,Allen city,Kansas,,,,,,,,,,,,260,
2100946,Allen city,Kentucky,,,,,,,,,,,,213,
18003,Allen County,Indiana,,,,,,,,,,,,87158,
20001,Allen County,Kansas,,,,,,,,,,,,3709,
21003,Allen County,Kentucky,,,,,,,,,,,,16284,
39003,Allen County,Ohio,,,,,,,,,,,,53144,
22003,Allen Parish,Louisiana,,,,,,,,,,,,22798,
2601380,Allen Park city,Michigan,,,,,,,,,,,,28395,
3600301319,Allen town,New York,,,,,,,,,,,,472,
4001400,Allen town,Oklahoma,,,,,,,,,,,,930,
4209500948,Allen township,Pennsylvania,,,,,,,,,,,,5405,
2601300,Allen village,Michigan,,,,,,,,,,,,213,
3100870,Allen village,Nebraska,,,,,,,,,,,,444,
3400700,Allendale borough,New Jersey,,,,,,,,,,,,6817,
2613901360,Allendale charter township,Michigan,,,,,,,,,,,,26132,
45005,Allendale County,South Carolina,,,,,,,,,,,,3635,
4500955,Allendale town,South Carolina,,,,,,,,,,,,2702,
1700815,Allendale village,Illinois,,,,,,,,,,,,521,
2900712,Allendale village,Missouri,,,,,,,,,,,,56,
3400730,Allenhurst borough,New Jersey,,,,,,,,,,,,412,
1301472,Allenhurst city,Georgia,,,,,,,,,,,,515,
4200988,Allenport borough,Pennsylvania,,,,,,,,,,,,466,
3301300660,Allenstown town,New Hampshire,,,,,,,,,,,,4697,
3400760,Allentown borough,New Jersey,,,,,,,,,,,,1817,
1301500,Allentown city,Georgia,,,,,,,,,,,,204,
1700867,Allenville village,Illinois,,,,,,,,,,,,95,
2900748,Allenville village,Missouri,,,,,,,,,,,,91,
1901270,Allerton city,Iowa,,,,,,,,,,,,421,
1700880,Allerton village,Illinois,,,,,,,,,,,,183,
101396,Allgood town,Alabama,,,,,,,,,,,,953,
3100905,Alliance city,Nebraska,,,,,,,,,,,,8118,
3901420,Alliance city,Ohio,2480,,,,,,,,,,,21603,
3701000,Alliance town,North Carolina,,,,,,,,,,,,842,
2800940,Alligator town,Mississippi,,,,,,,,,,,,247,
1901315,Allison city,Iowa,,,,,,,,,,,,980,
4203502032,Allison township,Pennsylvania,,,,,,,,,,,,296,
5501150,Allouez village,Wisconsin,,,,,,,,,,,,14089,
3403300880,Alloway township,New Jersey,,,,,,,,,,,,3293,
500940,Allport town,Arkansas,,,,,,,,,,,,76,
5501300,Alma Center village,Wisconsin,,,,,,,,,,,,577,
1301612,Alma city,Georgia,,,,,,,,,,,,3433,
2001350,Alma city,Kansas,,,,,,,,,,,,796,
2601540,Alma city,Michigan,,,,,,,,,,,,9436,
2900802,Alma city,Missouri,,,,,,,,,,,,448,
3100975,Alma city,Nebraska,,,,,,,,,,,,1131,
5501225,Alma city,Wisconsin,,,,,,,,,,,,742,
801530,Alma town,Colorado,,,,,,,,,,,,396,
3600301429,Alma town,New York,,,,,,,,,,,,577,
4802044,Alma town,Texas,,,,,,,,,,,,469,
1700919,Alma village,Illinois,,,,,,,,,,,,330,
2001425,Almena city,Kansas,,,,,,,,,,,,398,
5501325,Almena village,Wisconsin,,,,,,,,,,,,742,
5301500,Almira town,Washington,,,,,,,,,,,,363,
3600301451,Almond town,New York,,,,,,,,,,,,1779,
3601440,Almond village,New York,,,,,,,,,,,,418,
5501400,Almond village,Wisconsin,,,,,,,,,,,,444,
3801700,Almont city,North Dakota,,,,,,,,,,,,149,
2601660,Almont village,Michigan,,,,,,,,,,,,2826,
501030,Almyra town,Arkansas,,,,,,,,,,,,182,
2301501010,Alna town,Maine,,,,,,,,,,,,747,
2601740,Alpena city,Michigan,,,,,,,,,,,,10200,
26007,Alpena County,Michigan,,,,,,,,,,,,18701,
501060,Alpena town,Arkansas,,,,,,,,,,,,404,
4601020,Alpena town,South Dakota,,,,,,,,,,,,407,
3401030,Alpha borough,New Jersey,,,,,,,,,,,,2223,
2701162,Alpha city,Minnesota,,,,,,,,,,,,114,
1700971,Alpha village,Illinois,,,,,,,,,,,,792,
2601800,Alpha village,Michigan,,,,,,,,,,,,210,
1301696,Alpharetta city,Georgia,764,,,,,,,,,,,65884,
3401090,Alpine borough,New Jersey,,,,,,,,,,,,1449,
4900540,Alpine city,Utah,,,,,,,,,,,,10260,
5601695,Alpine town,Wyoming,,,,,,,,,,,,891,
2608101840,Alpine township,Michigan,,,,,,,,,,,,14044,
4201102120,Alsace township,Pennsylvania,,,,,,,,,,,,3833,
3801740,Alsen city,North Dakota,,,,,,,,,,,,22,
1700997,Alsey village,Illinois,,,,,,,,,,,,164,
3300500820,Alstead town,New Hampshire,,,,,,,,,,,,1599,
1301808,Alston town,Georgia,,,,,,,,,,,,223,
1901495,Alta city,Iowa,,,,,,,,,,,,2207,
4900650,Alta town,Utah,,,,,,,,,,,,376,
2001575,Alta Vista city,Kansas,,,,,,,,,,,,458,
1701049,Altamont city,Illinois,,,,,,,,,,,,2231,
2001550,Altamont city,Kansas,,,,,,,,,,,,1105,
4601140,Altamont town,South Dakota,,,,,,,,,,,,39,
4700940,Altamont town,Tennessee,,,,,,,,,,,,904,
4900760,Altamont town,Utah,,,,,,,,,,,,434,
2900910,Altamont village,Missouri,,,,,,,,,,,,156,
3601517,Altamont village,New York,,,,,,,,,,,,1745,
5101528,Altavista town,Virginia,,,,,,,,,,,,3370,
2900928,Altenburg city,Missouri,,,,,,,,,,,,387,
1201000,Altha town,Florida,,,,,,,,,,,,525,
501150,Altheimer city,Arkansas,,,,,,,,,,,,625,
1701205,Alto Pass village,Illinois,,,,,,,,,,,,381,
1301948,Alto town,Georgia,,,,,,,,,,,,1328,
4802188,Alto town,Texas,,,,,,,,,,,,1101,
1701114,Alton city,Illinois,,,,,,,,,,,,25642,
1901585,Alton city,Iowa,,,,,,,,,,,,1283,
2001600,Alton city,Kansas,,,,,,,,,,,,121,
2900964,Alton city,Missouri,,,,,,,,,,,,761,
1801270,Alton town,Indiana,,,,,,,,,,,,13,
2301901115,Alton town,Maine,,,,,,,,,,,,808,
4900870,Alton town,Utah,,,,,,,,,,,,331,
1801288,Altona town,Indiana,,,,,,,,,,,,421,
3601901583,Altona town,New York,,,,,,,,,,,,2446,
1701140,Altona village,Illinois,,,,,,,,,,,,562,
2001625,Altoona city,Kansas,,,,,,,,,,,,367,
5501550,Altoona city,Wisconsin,,,,,,,,,,,,8506,
101660,Altoona town,Alabama,,,,,,,,,,,,1358,
2701234,Altura city,Minnesota,,,,,,,,,,,,414,
601444,Alturas city,California,,,,,,,,,,,,2683,
501210,Altus city,Arkansas,,,,,,,,,,,,1008,
4001700,Altus city,Oklahoma,,,,,,,,,,,,18711,
4001800,Alva city,Oklahoma,,,,,,,,,,,,5020,
1701242,Alvan (Alvin) village,Illinois,,,,,,,,,,,,172,
2701252,Alvarado city,Minnesota,,,,,,,,,,,,280,
3101150,Alvo village,Nebraska,,,,,,,,,,,,105,
1901675,Alvord city,Iowa,,,,,,,,,,,,230,
501270,Amagon town,Arkansas,,,,,,,,,,,,77,
4901090,Amalga town,Utah,,,,,,,,,,,,494,
3901630,Amanda village,Ohio,,,,,,,,,,,,801,
2901018,Amazonia village,Missouri,,,,,,,,,,,,280,
4001900,Amber town,Oklahoma,,,,,,,,,,,,412,
3901672,Amberley village,Ohio,,,,,,,,,,,,3824,
1801342,Ambia town,Indiana,,,,,,,,,,,,230,
4202264,Ambler borough,Pennsylvania,,,,,,,,,,,,6775,
201970,Ambler city,Alaska,,,,,,,,,,,,277,
1701270,Amboy city,Illinois,,,,,,,,,,,,2413,
2701324,Amboy city,Minnesota,,,,,,,,,,,,507,
1801360,Amboy town,Indiana,,,,,,,,,,,,379,
3607501649,Amboy town,New York,,,,,,,,,,,,1190,
